"Data anno corrente","Giorno settimana","Vendite R6","Scontrini R6"
"2018-04-24","Martedi",5144.09,684.0
"2018-04-25","Mercoledi",4472.53,552.0
"2018-04-26","Giovedi",4040.75,596.0
"2018-04-27","Venerdi",6288.76,910.0
"2018-04-28","Sabato",5726.35,751.0
"2018-04-29","Domenica",4748.85,586.0
"2018-04-30","Lunedi",4903.67,664.0
"2018-05-01","Martedi",4905.74,585.0
"2018-05-02","Mercoledi",3783.44,577.0
"2018-05-03","Giovedi",4165.2,618.0
"2018-05-04","Venerdi",6705.03,933.0
"2018-05-05","Sabato",6456.78,874.0
"2018-05-06","Domenica",5240.57,640.0
"2018-05-07","Lunedi",5615.06,745.0
"2018-05-08","Martedi",4515.66,641.0
"2018-05-09","Mercoledi",4469.81,617.0
"2018-05-10","Giovedi",5355.51,713.0
"2018-05-11","Venerdi",5470.2,800.0
"2018-05-12","Sabato",5764.24,744.0
"2018-05-13","Domenica",4933.21,646.0
"2018-05-14","Lunedi",4141.13,634.0
"2018-05-15","Martedi",8539.28,1219.0
"2018-05-16","Mercoledi",4216.71,608.0
"2018-05-17","Giovedi",4261.76,632.0
"2018-05-18","Venerdi",6959.53,953.0
"2018-05-19","Sabato",5922.75,791.0
"2018-05-20","Domenica",4811.34,594.0
"2018-05-21","Lunedi",4325.44,661.0
"2018-05-22","Martedi",4760.54,730.0
"2018-05-23","Mercoledi",4629.03,761.0
"2018-05-24","Giovedi",4518.62,755.0
"2018-05-25","Venerdi",6701.16,1032.0
"2018-05-26","Sabato",6072.33,916.0
"2018-05-27","Domenica",5087.82,716.0
"2018-05-28","Lunedi",4562.87,660.0
"2018-05-29","Martedi",5075.12,728.0
"2018-05-30","Mercoledi",4567.69,676.0
"2018-05-31","Giovedi",5385.4,753.0
"2018-06-01","Venerdi",6282.86,882.0
"2018-06-02","Sabato",5796.07,760.0
"2018-06-03","Domenica",5566.05,668.0
"2018-06-04","Lunedi",4004.94,542.0
"2018-06-05","Martedi",4284.68,656.0
"2018-06-06","Mercoledi",4599.36,688.0
"2018-06-07","Giovedi",4717.53,721.0
"2018-06-08","Venerdi",7447.22,1043.0
"2018-06-09","Sabato",5708.14,763.0
"2018-06-10","Domenica",4164.35,550.0
"2018-06-11","Lunedi",4359.5,626.0
"2018-06-12","Martedi",3868.37,580.0
"2018-06-13","Mercoledi",4927.85,703.0
"2018-06-14","Giovedi",4028.79,629.0
"2018-06-15","Venerdi",5698.57,743.0
"2018-06-16","Sabato",5300.75,732.0
"2018-06-17","Domenica",4233.21,545.0
"2018-06-18","Lunedi",3613.5,556.0
"2018-06-19","Martedi",3139.98,476.0
"2018-06-20","Mercoledi",4168.71,609.0
"2018-06-21","Giovedi",4081.65,612.0
"2018-06-22","Venerdi",5197.18,711.0
"2018-06-23","Sabato",5380.35,688.0
"2018-06-24","Domenica",5104.04,654.0
"2018-06-25","Lunedi",4160.08,645.0
"2018-06-26","Martedi",3426.57,502.0
"2018-06-27","Mercoledi",4119.6,582.0
"2018-06-28","Giovedi",3861.21,527.0
"2018-06-29","Venerdi",4830.31,628.0
"2018-06-30","Sabato",4693.08,695.0
"2018-07-01","Domenica",5166.25,817.0
"2018-07-02","Lunedi",4011.75,603.0
"2018-07-03","Martedi",3834.58,628.0
"2018-07-04","Mercoledi",3260.91,471.0
"2018-07-05","Giovedi",3831.59,554.0
"2018-07-06","Venerdi",5574.49,792.0
"2018-07-07","Sabato",4836.06,686.0
"2018-07-08","Domenica",4717.99,599.0
"2018-07-09","Lunedi",3409.07,499.0
"2018-07-10","Martedi",3856.69,547.0
"2018-07-11","Mercoledi",4085.86,629.0
"2018-07-12","Giovedi",4012.67,656.0
