Data anno corrente,Giorno settimana,Vendite R4,Scontrini R4
2017-12-10,Domenica,2276.72,477.0
2017-12-11,Lunedi,2703.48,632.0
2017-12-12,Martedi,2820.17,667.0
2017-12-13,Mercoledi,3198.29,741.0
2017-12-14,Giovedi,2977.34,694.0
2017-12-15,Venerdi,3370.26,784.0
2017-12-16,Sabato,4405.0,857.0
2017-12-17,Domenica,3230.61,611.0
2017-12-18,Lunedi,3193.33,740.0
2017-12-19,Martedi,3732.04,802.0
2017-12-20,Mercoledi,3451.33,742.0
2017-12-21,Giovedi,3601.77,794.0
2017-12-22,Venerdi,4441.57,858.0
2017-12-23,Sabato,4718.82,840.0
2017-12-24,Domenica,2980.59,555.0
2017-12-25,Lunedi,,
2017-12-26,Martedi,,
2017-12-27,Mercoledi,3120.45,601.0
2017-12-28,Giovedi,3448.55,667.0
2017-12-29,Venerdi,3306.01,659.0
2017-12-30,Sabato,4050.75,753.0
2017-12-31,Domenica,2164.3,440.0
2018-01-01,Lunedi,,
2018-01-02,Martedi,3260.1,647.0
2018-01-03,Mercoledi,2706.61,616.0
2018-01-04,Giovedi,2554.5,552.0
2018-01-05,Venerdi,2895.44,612.0
2018-01-06,Sabato,2894.71,586.0
2018-01-07,Domenica,2469.75,524.0
2018-01-08,Lunedi,2680.04,626.0
2018-01-09,Martedi,2765.7,623.0
2018-01-10,Mercoledi,2746.45,648.0
2018-01-11,Giovedi,2562.93,588.0
2018-01-12,Venerdi,3257.31,711.0
2018-01-13,Sabato,4173.5,769.0
2018-01-14,Domenica,2975.06,557.0
2018-01-15,Lunedi,3138.36,686.0
2018-01-16,Martedi,3007.66,692.0
2018-01-17,Mercoledi,3243.98,706.0
2018-01-18,Giovedi,3065.98,686.0
2018-01-19,Venerdi,3670.24,800.0
2018-01-20,Sabato,4435.82,807.0
2018-01-21,Domenica,3039.77,561.0
2018-01-22,Lunedi,3289.15,777.0
2018-01-23,Martedi,3000.37,691.0
2018-01-24,Mercoledi,3339.94,724.0
2018-01-25,Giovedi,3209.48,693.0
2018-01-26,Venerdi,3263.57,716.0
2018-01-27,Sabato,4085.92,813.0
2018-01-28,Domenica,2892.53,543.0
2018-01-29,Lunedi,3398.42,694.0
2018-01-30,Martedi,2586.57,636.0
2018-01-31,Mercoledi,2806.37,677.0
2018-02-01,Giovedi,3052.66,720.0
2018-02-02,Venerdi,3265.27,757.0
2018-02-03,Sabato,4417.36,897.0
2018-02-04,Domenica,2730.04,589.0
2018-02-05,Lunedi,3171.16,708.0
2018-02-06,Martedi,2909.65,694.0
2018-02-07,Mercoledi,2767.02,667.0
2018-02-08,Giovedi,2868.81,690.0
2018-02-09,Venerdi,3285.81,756.0
2018-02-10,Sabato,3875.23,782.0
2018-02-11,Domenica,3217.23,617.0
2018-02-12,Lunedi,3079.51,759.0
2018-02-13,Martedi,2673.49,674.0
2018-02-14,Mercoledi,3534.6,773.0
2018-02-15,Giovedi,3096.84,693.0
2018-02-16,Venerdi,3712.38,804.0
2018-02-17,Sabato,3718.33,854.0
2018-02-18,Domenica,2866.43,584.0
2018-02-19,Lunedi,3255.27,765.0
2018-02-20,Martedi,3256.23,725.0
2018-02-21,Mercoledi,3065.92,719.0
2018-02-22,Giovedi,3133.22,725.0
2018-02-23,Venerdi,3034.2,747.0
2018-02-24,Sabato,3829.25,800.0
2018-02-25,Domenica,2691.88,541.0
2018-02-26,Lunedi,3077.52,802.0
2018-02-27,Martedi,2886.86,755.0
2018-02-28,Mercoledi,3267.2,839.0
2018-03-01,Giovedi,2694.45,692.0
2018-03-02,Venerdi,3133.97,820.0
2018-03-03,Sabato,3146.31,791.0
2018-03-04,Domenica,2810.35,642.0
2018-03-05,Lunedi,3564.49,818.0
2018-03-06,Martedi,2751.55,755.0
2018-03-07,Mercoledi,3037.99,753.0
2018-03-08,Giovedi,2745.13,671.0
2018-03-09,Venerdi,3151.34,783.0
2018-03-10,Sabato,3868.18,844.0
2018-03-11,Domenica,2594.57,529.0
2018-03-12,Lunedi,3044.48,757.0
2018-03-13,Martedi,2805.49,732.0
2018-03-14,Mercoledi,2901.77,723.0
2018-03-15,Giovedi,2890.44,763.0
2018-03-16,Venerdi,3335.57,781.0
2018-03-17,Sabato,4134.1,825.0
2018-03-18,Domenica,2708.07,573.0
2018-03-19,Lunedi,3149.03,751.0
2018-03-20,Martedi,3457.59,806.0
2018-03-21,Mercoledi,3267.37,751.0
2018-03-22,Giovedi,3280.43,748.0
2018-03-23,Venerdi,3502.84,861.0
2018-03-24,Sabato,4109.43,858.0
2018-03-25,Domenica,2867.2,618.0
2018-03-26,Lunedi,2658.93,750.0
2018-03-27,Martedi,2863.61,721.0
2018-03-28,Mercoledi,3851.62,879.0
2018-03-29,Giovedi,2866.57,676.0
2018-03-30,Venerdi,3268.4,714.0
2018-03-31,Sabato,3245.26,764.0
2018-04-01,Domenica,,
2018-04-02,Lunedi,,
2018-04-03,Martedi,3374.38,721.0
2018-04-04,Mercoledi,2657.02,670.0
2018-04-05,Giovedi,2768.82,690.0
2018-04-06,Venerdi,3547.51,769.0
2018-04-07,Sabato,3445.37,822.0
2018-04-08,Domenica,2485.0,547.0
2018-04-09,Lunedi,2871.51,668.0
2018-04-10,Martedi,2941.05,692.0
2018-04-11,Mercoledi,3093.36,642.0
2018-04-12,Giovedi,3149.08,705.0
2018-04-13,Venerdi,3836.03,799.0
2018-04-14,Sabato,4320.07,857.0
2018-04-15,Domenica,2995.07,604.0
2018-04-16,Lunedi,2800.65,695.0
2018-04-17,Martedi,3002.63,726.0
2018-04-18,Mercoledi,3229.33,782.0
2018-04-19,Giovedi,3510.86,808.0
2018-04-20,Venerdi,3764.25,850.0
2018-04-21,Sabato,3872.61,846.0
2018-04-22,Domenica,3397.93,688.0
2018-04-23,Lunedi,2959.0,728.0
2018-04-24,Martedi,3481.13,799.0
2018-04-25,Mercoledi,2812.83,605.0
2018-04-26,Giovedi,2883.49,681.0
2018-04-27,Venerdi,3686.89,817.0
2018-04-28,Sabato,3807.41,776.0
2018-04-29,Domenica,3114.8,636.0
2018-04-30,Lunedi,3188.72,738.0
2018-05-01,Martedi,3227.18,640.0
2018-05-02,Mercoledi,3021.1,707.0
2018-05-03,Giovedi,2678.89,696.0
2018-05-04,Venerdi,3531.53,778.0
2018-05-05,Sabato,3663.79,819.0
2018-05-06,Domenica,2880.95,594.0
2018-05-07,Lunedi,3083.08,721.0
2018-05-08,Martedi,2698.28,658.0
2018-05-09,Mercoledi,2828.02,680.0
2018-05-10,Giovedi,3361.83,739.0
2018-05-11,Venerdi,3578.55,813.0
2018-05-12,Sabato,4252.78,881.0
2018-05-13,Domenica,3035.86,623.0
2018-05-14,Lunedi,3081.96,731.0
2018-05-15,Martedi,,
2018-05-16,Mercoledi,6746.36,1523.0
2018-05-17,Giovedi,3345.4,714.0
2018-05-18,Venerdi,3082.33,707.0
2018-05-19,Sabato,3734.85,774.0
2018-05-20,Domenica,2765.93,567.0
2018-05-21,Lunedi,2610.0,675.0
2018-05-22,Martedi,2831.11,667.0
2018-05-23,Mercoledi,2585.18,702.0
2018-05-24,Giovedi,2611.28,673.0
2018-05-25,Venerdi,3555.65,841.0
2018-05-26,Sabato,3681.59,871.0
2018-05-27,Domenica,2751.33,593.0
2018-05-28,Lunedi,2642.11,644.0
2018-05-29,Martedi,2858.74,690.0
2018-05-30,Mercoledi,2748.93,675.0
2018-05-31,Giovedi,3175.34,740.0
2018-06-01,Venerdi,3747.94,810.0
2018-06-02,Sabato,3522.85,717.0
2018-06-03,Domenica,2833.35,556.0
2018-06-04,Lunedi,3087.92,683.0
2018-06-05,Martedi,3024.39,718.0
2018-06-06,Mercoledi,2575.59,631.0
2018-06-07,Giovedi,4171.08,849.0
2018-06-08,Venerdi,3250.61,658.0
2018-06-09,Sabato,3147.9,699.0
2018-06-10,Domenica,2621.66,559.0
2018-06-11,Lunedi,2801.03,626.0
2018-06-12,Martedi,2779.41,620.0
2018-06-13,Mercoledi,3155.71,669.0
2018-06-14,Giovedi,3011.07,634.0
2018-06-15,Venerdi,3637.67,837.0
2018-06-16,Sabato,4243.81,855.0
2018-06-17,Domenica,2832.46,633.0
2018-06-18,Lunedi,3145.06,697.0
2018-06-19,Martedi,3022.14,705.0
2018-06-20,Mercoledi,3096.09,751.0
2018-06-21,Giovedi,3037.16,710.0
2018-06-22,Venerdi,3546.22,730.0
2018-06-23,Sabato,4008.58,865.0
2018-06-24,Domenica,3057.92,653.0
2018-06-25,Lunedi,2942.37,657.0
2018-06-26,Martedi,2589.41,662.0
2018-06-27,Mercoledi,2975.05,698.0
2018-06-28,Giovedi,2695.93,668.0
