"row ID","Vendite R1","Vendite R2","Vendite R4","Vendite R5","Vendite R6"
"2018-03-05",4096.38,7424.16,3564.49,4841.46,4409.39
"2018-03-06",4034.1,6811.13,2751.55,4832.34,4776.47
"2018-03-07",3290.86,6415.9,3037.99,4917.62,4221.44
"2018-03-08",4371.61,8874.56,2745.13,6327.57,5990.26
"2018-03-09",4957.72,10614.15,3151.34,6854.54,7044.58
"2018-03-10",10674.51,13355.34,3868.18,8201.2,6610.35
"2018-03-11",8185.09,9931.41,2594.57,6237.63,5225.3
"2018-03-12",3227.26,6779.96,3044.48,4239.99,4173.68
"2018-03-13",3461.14,6436.48,2805.49,4290.29,4519.44
"2018-03-14",3944.55,7258.95,2901.77,5159.56,4489.56
"2018-03-15",3929.03,6881.51,2890.44,5248.45,4941.19
"2018-03-16",5893.14,11083.05,3335.57,7596.44,7620.56
"2018-03-17",11184.22,12696.6,4134.1,8823.87,6867.98
"2018-03-18",8012.16,10172.84,2708.07,6708.87,4940.52
"2018-03-19",3634.73,7241.5,3149.03,4684.19,3516.2
"2018-03-20",3705.34,6803.31,3457.59,4626.25,4537.21
"2018-03-21",3334.09,7148.63,3267.37,5180.42,3514.75
"2018-03-22",4407.69,8153.44,3280.43,5653.99,5297.6
"2018-03-23",5614.42,10316.36,3502.84,6530.99,6967.79
"2018-03-24",11073.64,13297.46,4109.43,7939.79,6476.64
"2018-03-25",7957.11,10818.29,2867.2,8081.59,4974.39
"2018-03-26",3648.38,6844.75,2658.93,4458.71,3241.11
"2018-03-27",3927.53,6763.38,2863.61,4894.58,5006.32
"2018-03-28",4954.21,7573.18,3851.62,5817.63,5396.11
"2018-03-29",6326.17,9836.3,2866.57,6796.57,4399.24
"2018-03-30",6101.12,9718.48,3268.4,6768.76,5814.79
"2018-03-31",9493.24,10977.74,3245.26,7675.39,5499.66
"2018-04-01",2361.32,5943.49,3064.56,3504.49,2216.18
"2018-04-02",6482.14,9801.31,2884.9,6662.51,4372.96
"2018-04-03",4820.89,7648.11,3374.38,5374.32,3528.48
"2018-04-04",3123.61,6185.77,2657.02,4572.72,4060.03
"2018-04-06",5836.42,9746.55,3547.51,7159.13,7411.04
"2018-04-07",10313.66,13744.43,3445.37,8508.52,6094.89
"2018-04-08",6913.3,9310.51,2485.0,5611.14,4372.99
"2018-04-09",3715.29,7035.29,2871.51,4793.01,3755.68
"2018-04-10",4226.04,6951.64,2941.05,4893.25,4190.75
"2018-04-11",3889.28,7622.8,3093.36,5096.49,4165.11
"2018-04-12",4791.07,8269.89,3149.08,5273.41,4842.62
"2018-04-13",7096.32,11683.26,3836.03,6522.23,7158.18
"2018-04-14",11079.58,14311.58,4320.07,7636.44,6678.18
"2018-04-15",9628.16,11362.06,2995.07,7587.44,5728.15
"2018-04-16",3685.08,7125.15,2800.65,5446.98,4692.54
"2018-04-17",3732.45,7471.63,3002.63,5943.18,4959.88
"2018-04-18",3623.64,7500.8,3229.33,5734.79,4806.85
"2018-04-19",4652.02,8968.11,3510.86,6272.44,5283.81
"2018-04-20",6041.11,11438.07,3764.25,7577.24,6665.91
"2018-04-21",9100.11,12886.42,3872.61,9177.88,6119.87
"2018-04-22",8106.52,9739.62,3397.93,7483.74,5712.81
"2018-04-23",3460.24,7039.57,2959.0,4526.34,4051.13
"2018-04-24",4677.64,7902.79,3481.13,5997.34,5144.09
"2018-04-25",7479.79,10079.86,2812.83,6248.85,4472.53
"2018-04-26",3772.51,6657.44,2883.49,4527.82,4040.75
"2018-04-27",6238.08,9994.86,3686.89,7209.81,6288.76
"2018-04-28",10309.5,12030.84,3807.41,8421.17,5726.35
"2018-04-29",9116.35,10057.98,3114.8,7454.39,4748.85
"2018-04-30",7138.98,9814.63,3188.72,6601.81,4903.67
"2018-05-01",7336.0,11512.06,3227.18,6520.94,4905.74
"2018-05-02",3847.32,6220.85,3021.1,4673.36,3783.44
"2018-05-03",3802.41,7457.25,2678.89,4795.29,4165.2
"2018-05-04",4853.32,9765.72,3531.53,7387.54,6705.03
"2018-05-05",10052.19,13169.1,3663.79,9361.05,6456.78
"2018-05-06",6710.58,9193.95,2880.95,5904.49,5240.57
"2018-05-07",3388.67,6247.1,3083.08,4976.93,5615.06
"2018-05-08",3588.28,6899.01,2698.28,4664.56,4515.66
"2018-05-09",3854.49,7543.77,2828.02,4827.71,4469.81
"2018-05-10",3976.58,7556.44,3361.83,5560.7,5355.51
"2018-05-11",5699.67,11621.37,3578.55,6772.5,5470.2
"2018-05-12",7687.61,12792.69,4252.78,9447.74,5764.24
"2018-05-13",7416.3,10156.81,3035.86,6848.28,4933.21
"2018-05-14",3400.9,6849.93,3081.96,5141.24,4141.13
"2018-05-15",4203.03,7373.8,2808.35,4777.2,8539.28
"2018-05-16",3830.85,8893.71,6746.36,5096.49,4216.71
"2018-05-17",3648.37,7610.51,3345.4,10963.98,4261.76
"2018-05-18",5658.23,10475.37,3082.33,7449.95,6959.53
"2018-05-19",9905.5,13102.56,3734.85,9397.0,5922.75
"2018-05-20",7487.55,10544.06,2765.93,7605.33,4811.34
"2018-05-21",3296.59,7038.16,2610.0,4728.93,4325.44
"2018-05-22",3974.77,7052.63,2831.11,5567.74,4760.54
"2018-05-23",3806.69,7396.36,2585.18,5149.58,4629.03
"2018-05-24",3807.01,7361.92,2611.28,5700.65,4518.62
"2018-05-25",5972.49,9781.95,3555.65,7727.77,6701.16
"2018-05-26",8199.99,11614.07,3681.59,8369.03,6072.33
"2018-05-27",8025.91,9294.83,2751.33,7763.68,5087.82
"2018-05-28",3761.81,6338.13,2642.11,5358.2,4562.87
"2018-05-29",3754.89,6699.76,2858.74,4958.33,5075.12
"2018-05-30",3815.23,7240.02,2748.93,6023.16,4567.69
"2018-05-31",3856.6,7920.16,3175.34,5684.56,5385.4
"2018-06-01",10729.37,11901.65,3747.94,6954.63,6282.86
"2018-06-02",9036.52,12432.68,3522.85,7505.85,5796.07
"2018-06-03",7058.94,9215.64,2833.35,6749.73,5566.05
"2018-06-04",4108.58,6287.04,3087.92,4840.89,4004.94
"2018-06-05",3346.7,6260.16,3024.39,4893.25,4284.68
"2018-06-06",3405.19,6598.55,2575.59,10143.17,4599.36
"2018-06-07",4114.45,8592.38,4171.08,5035.3,4717.53
"2018-06-08",7004.99,10593.66,3250.61,8921.55,7447.22
"2018-06-09",7829.97,11517.24,3147.9,8094.94,5708.14
"2018-06-10",7273.18,7411.0,2621.66,7292.13,4164.35
"2018-06-11",4138.71,6654.18,2801.03,5032.84,4359.5
"2018-06-12",4062.12,8107.47,2779.41,5884.07,3868.37
"2018-06-13",4654.48,7690.69,3155.71,5697.78,4927.85
"2018-06-14",4392.02,8371.27,3011.07,5196.29,4028.79
"2018-06-15",5349.58,9986.32,3637.67,6761.84,5698.57
"2018-06-16",7819.33,11533.12,4243.81,8712.83,5300.75
"2018-06-17",6743.87,8435.72,2832.46,7009.12,4233.21
